Batch change
Module name, Device, Current value, Display format, Comment
Global,R2111,-,1-bit BIN,
Global,R2112,-,1-bit BIN,
Global,R2113,-,1-bit BIN,
Global,R2114,-,1-bit BIN,
Global,R2115,-,1-bit BIN,
Global,R2200,-,1-bit BIN,
Global,R2201,-,1-bit BIN,
Global,R2202,-,1-bit BIN,
Global,R2203,-,1-bit BIN,
Global,R2204,-,1-bit BIN,
Global,R2205,-,1-bit BIN,
Global,R2206,-,1-bit BIN,
Global,R2207,-,1-bit BIN,
Global,R2208,-,1-bit BIN,
Global,R2209,-,1-bit BIN,
Global,R2210,-,1-bit BIN,
Global,R2211,-,1-bit BIN,
Global,R2212,-,1-bit BIN,
Global,R2213,-,1-bit BIN,
Global,R2214,-,1-bit BIN,
Global,R2215,-,1-bit BIN,
Global,R2300,-,1-bit BIN,
Global,R2301,-,1-bit BIN,
Global,R2302,-,1-bit BIN,
Global,R2303,-,1-bit BIN,
Global,R2304,-,1-bit BIN,
Global,R2305,-,1-bit BIN,
Global,R2306,-,1-bit BIN,
Global,R2307,-,1-bit BIN,
Global,R2308,-,1-bit BIN,
Global,R2309,-,1-bit BIN,
Global,R2310,-,1-bit BIN,
Global,R2311,-,1-bit BIN,
Global,R2312,-,1-bit BIN,
Global,R2313,-,1-bit BIN,
Global,R2314,-,1-bit BIN,
Global,R2315,-,1-bit BIN,
Global,R2400,-,1-bit BIN,
Global,R2401,-,1-bit BIN,
Global,R2402,-,1-bit BIN,
Global,R2403,-,1-bit BIN,
Global,R2404,-,1-bit BIN,
Global,R2405,-,1-bit BIN,
Global,R2406,-,1-bit BIN,
Global,R2407,-,1-bit BIN,
Global,R2408,-,1-bit BIN,
Global,R2409,-,1-bit BIN,
Global,R2410,-,1-bit BIN,
Global,R2411,-,1-bit BIN,
Global,R2412,-,1-bit BIN,
Global,R2413,-,1-bit BIN,
Global,R2414,-,1-bit BIN,
Global,R2415,-,1-bit BIN,
Global,R2500,-,1-bit BIN,
Global,R2501,-,1-bit BIN,
Global,R2502,-,1-bit BIN,
Global,R2503,-,1-bit BIN,
Global,R2504,-,1-bit BIN,
Global,R2505,-,1-bit BIN,
Global,R2506,-,1-bit BIN,
Global,R2507,-,1-bit BIN,
Global,R2508,-,1-bit BIN,
Global,R2509,-,1-bit BIN,
Global,R2510,-,1-bit BIN,
Global,R2511,-,1-bit BIN,
Global,R2512,-,1-bit BIN,
Global,R2513,-,1-bit BIN,
Global,R2514,-,1-bit BIN,
Global,R2515,-,1-bit BIN,
Global,R2600,-,1-bit BIN,
Global,R2601,-,1-bit BIN,
Global,R2602,-,1-bit BIN,
Global,R2603,-,1-bit BIN,
Global,R2604,-,1-bit BIN,
Global,R2605,-,1-bit BIN,
Global,R2606,-,1-bit BIN,
Global,R2607,-,1-bit BIN,
Global,R2608,-,1-bit BIN,
Global,R2609,-,1-bit BIN,
Global,R2610,-,1-bit BIN,
Global,R2611,-,1-bit BIN,
Global,R2612,-,1-bit BIN,
Global,R2613,-,1-bit BIN,
Global,R2614,-,1-bit BIN,
Global,R2615,-,1-bit BIN,
Global,R2700,-,1-bit BIN,
Global,R2701,-,1-bit BIN,
Global,R2702,-,1-bit BIN,
Global,R2703,-,1-bit BIN,
Global,R2704,-,1-bit BIN,
Global,R2705,-,1-bit BIN,
Global,R2706,-,1-bit BIN,
Global,R2707,-,1-bit BIN,
Global,R2708,-,1-bit BIN,
Global,R2709,-,1-bit BIN,
Global,R2710,-,1-bit BIN,
Global,R2711,-,1-bit BIN,
Global,R2712,-,1-bit BIN,
Global,R2713,-,1-bit BIN,
Global,R2714,-,1-bit BIN,
Global,R2715,-,1-bit BIN,
Global,R2800,-,1-bit BIN,
Global,R2801,-,1-bit BIN,
Global,R2802,-,1-bit BIN,
Global,R2803,-,1-bit BIN,
Global,R2804,-,1-bit BIN,
Global,R2805,-,1-bit BIN,
Global,R2806,-,1-bit BIN,
Global,R2807,-,1-bit BIN,
Global,R2808,-,1-bit BIN,
Global,R2809,-,1-bit BIN,
Global,R2810,-,1-bit BIN,
Global,R2811,-,1-bit BIN,
Global,R2812,-,1-bit BIN,
Global,R2813,-,1-bit BIN,
Global,R2814,-,1-bit BIN,
Global,R2815,-,1-bit BIN,
Global,R2900,-,1-bit BIN,
Global,R2901,-,1-bit BIN,
Global,R2902,-,1-bit BIN,
Global,R2903,-,1-bit BIN,
Global,R2904,-,1-bit BIN,
Global,R2905,-,1-bit BIN,
Global,R2906,-,1-bit BIN,
Global,R2907,-,1-bit BIN,
Global,R2908,-,1-bit BIN,
Global,R2909,-,1-bit BIN,
Global,R2910,-,1-bit BIN,
Global,R2911,-,1-bit BIN,
Global,R2912,-,1-bit BIN,
Global,R2913,-,1-bit BIN,
Global,R2914,-,1-bit BIN,
Global,R2915,-,1-bit BIN,
Global,R3000,-,1-bit BIN,
Global,R3001,-,1-bit BIN,
Global,R3002,-,1-bit BIN,
Global,R3003,-,1-bit BIN,
Global,R3004,-,1-bit BIN,
Global,R3005,-,1-bit BIN,
Global,R3006,-,1-bit BIN,
Global,R3007,-,1-bit BIN,
Global,R3008,-,1-bit BIN,
Global,R3009,-,1-bit BIN,
Global,R3010,-,1-bit BIN,
Global,R3011,-,1-bit BIN,
Global,R3012,-,1-bit BIN,
Global,R3013,-,1-bit BIN,
Global,R3014,-,1-bit BIN,
Global,R3015,-,1-bit BIN,
Global,R3100,-,1-bit BIN,
Global,R3101,-,1-bit BIN,
Global,R3102,-,1-bit BIN,
Global,R3103,-,1-bit BIN,
Global,R3104,-,1-bit BIN,
Global,R3105,-,1-bit BIN,
Global,R3106,-,1-bit BIN,
Global,R3107,-,1-bit BIN,
Global,R3108,-,1-bit BIN,
Global,R3109,-,1-bit BIN,
Global,R3110,-,1-bit BIN,
Global,R3111,-,1-bit BIN,
Global,R3112,-,1-bit BIN,
Global,R3113,-,1-bit BIN,
Global,R3114,-,1-bit BIN,
Global,R3115,-,1-bit BIN,
Global,R3200,-,1-bit BIN,
Global,R3201,-,1-bit BIN,
Global,R3202,-,1-bit BIN,
Global,R3203,-,1-bit BIN,
Global,R3204,-,1-bit BIN,
Global,R3205,-,1-bit BIN,
Global,R3206,-,1-bit BIN,
Global,R3207,-,1-bit BIN,
Global,R3208,-,1-bit BIN,
Global,R3209,-,1-bit BIN,
Global,R3210,-,1-bit BIN,
Global,R3211,-,1-bit BIN,
Global,R3212,-,1-bit BIN,
Global,R3213,-,1-bit BIN,
Global,R3214,-,1-bit BIN,
Global,R3215,-,1-bit BIN,
Global,R3300,-,1-bit BIN,
Global,R3301,-,1-bit BIN,
Global,R3302,-,1-bit BIN,
Global,R3303,-,1-bit BIN,
Global,R3304,-,1-bit BIN,
Global,R3305,-,1-bit BIN,
Global,R3306,-,1-bit BIN,
Global,R3307,-,1-bit BIN,
Global,R3308,-,1-bit BIN,
Global,R3309,-,1-bit BIN,
Global,R3310,-,1-bit BIN,
Global,R3311,-,1-bit BIN,
Global,R3312,-,1-bit BIN,
Global,R3313,-,1-bit BIN,
Global,R3314,-,1-bit BIN,
Global,R3315,-,1-bit BIN,
Global,R3400,-,1-bit BIN,
Global,R3401,-,1-bit BIN,
Global,R3402,-,1-bit BIN,
Global,R3403,-,1-bit BIN,
Global,R3404,-,1-bit BIN,
Global,R3405,-,1-bit BIN,
Global,R3406,-,1-bit BIN,
Global,R3407,-,1-bit BIN,
Global,R3408,-,1-bit BIN,
